DEPT,PRO,VEHICLE,DUE DATE,AMOUNT,ORDER
Vehicle Pool,467/24-25,"GJ06G-1724, 2581",45560,49800,639
Vehicle Pool,467/24-25,GJ06GA-0371,45560,49985,638
Vehicle Pool,467/24-25,"GJ06GA-0099, 0313, GJ06G-1591, 1723",45560,37720,640
Vehicle Pool,467/24-25,GJ06GA-2609,45560,49770,641
Vehicle Pool,536/24-25,"GJ06G-1591, 2032, 6451",45568,46430,610
Vehicle Pool,575/24-25,"GJ06GA-2974, GJ06G-6451, 6497",45580,41760,592
Vehicle Pool,575/24-25,"GJ06G-1591, GJ06GA-0371",45580,46270,593
Fire Brigade,624/24-25,GJ06GA-1008,45587,49980,121
Fire Brigade,624/24-25,"GJ06GA-0352, 2585, GJ06G-6365, 6737",45587,45940,122
Fire Brigade,624/24-25,"GJ06GA-0326, 0402",45587,45810,123
Vehicle Pool,633/24-25,"GJ06G-1591, 2032, 6481, 6554",45590,35085,655
Workshop,653/24-25,GJ06G-6794,45601,49770,690
Workshop,653/24-25,GJ06G-6574,45601,30435,691
Workshop,653/24-25,GJ06G-6772,45601,47920,692
Workshop,653/24-25,"GJ06GA-3021, GJ06G-6492, 6408, 6475",45601,49750,693
Workshop,653/24-25,GJ06G-6768,45601,49600,694
Workshop,653/24-25,GJ06G-6773,45601,45960,695
Vehicle Pool,766/24-25,"GJ06GA-0167, 2536, 2577, 2974, 0226",45632,49990,719
Vehicle Pool,766/24-25,"GJ06GA-0099, 0148, GJ06G-1724, 6451, 6459, 6770",45632,47965,718
Vehicle Pool,817/24-25,"GJ06GA-2852, GJ06G-6451",45644,48750,735
Vehicle Pool,817/24-25,"GJ06GA-2982, 3008, 2807, GJ06G-6541, 6770",45644,45460,734
Workshop,861/24-25,"GJ06G-6774, 6794, 6793",45656,47220,834
Workshop,861/24-25,"GJ06GA-2639, GJ06G-6795",45656,46530,835
Workshop,861/24-25,"GJ06G-6792, GJ06GA-2546, 3471, 2510, GJ06G-6447",45656,40520,837
Workshop,861/24-25,"GJ06G-6493, GJ06GA-3145, 3155",45656,47900,836
Workshop,861/24-25,GJ06G-6574,45656,49850,838
Vehicle Pool,878/24-25,"GJ06G-6460, 1591, 2031, GJ06GA-2898, 3471",31/12/2024,49980,22
Vehicle Pool,878/24-25,"GJ06GA-2749, 3008, 3021, GJ06G-6769, 6485, 6459, 6554",31/12/2024,40620,23
Vehicle Pool,918/24-25,GJ06GA-0371,45665,49030,55
Vehicle Pool,918/24-25,"GJ06G-2032, 6555",45665,49720,54
Vehicle Pool,918/24-25,"GJ06G-6772, 6416, 6414, GJ06GA-3801",45665,44250,56
Fire Brigade,951/24-25,GJ06-G-6737,45674,46640,146
Fire Brigade,951/24-25,"GJ06GA-0132, GJ06GA-0421, GJ06G-6736",45674,48040,145
Vehicle Pool,967/24-25,"GJ06G-1591, 6451, 6801",45675,49455,
Vehicle Pool,967/24-25,"GJ06GA-0167, 0371",45675,46830,
Fire Brigade,997/24-25,GJ06GA-3258,21/01/2025,49895,157
Fire Brigade,997/24-25,"GJ06G-6363, GJ06GA-3213",21/01/2025,36350,158
Fire Brigade,997/24-25,"GJ06GA-2845, GJ06G-6733, GJ06G-6646",21/01/2025,49805,159
Workshop,1018/24-25,"GJ06G-6530, GJ06G-6552",01/02/2025,43510,27
Workshop,1018/24-25,GJ06GA-3471,01/02/2025,49970,28
Workshop,1018/24-25,"GJ06G-6572, GJ06G-6571, GJ06G-6548",01/02/2025,45940,29
Vehicle Pool,1028/24-25,"GJ06G-2030, 6550, 6421",30/01/2025,42880,
Vehicle Pool,1028/24-25,"GJ06GA-2898, 2749, GJ06G-6416",30/01/2025,49510,
Vehicle Pool,1028/24-25,"GJ06GA-2783, GJ06G-6719, 6451, 6445",30/01/2025,49440,
Vehicle Pool,1081/24-25,"GJ06GA-0313, GJ06G-6621, 6448",11/02/2025,47930,
Vehicle Pool,1081/24-25,"GJ06G-1724, 6527, 6771",11/02/2025,49900,
Fire Brigade,1111/24-25,"GJ06GA-2750, 2973, 0234, GJ06G-1740",13/02/2025,49290,185
Fire Brigade,1111/24-25,"GJ06AH-2744, GJ06GA-2856, 2911",13/02/2025,48670,186
Fire Brigade,1111/24-25,"GJ06GA-0374, 2550, 2959, GJ06G-6737",13/02/2025,49770,187
Workshop,1148/24-25,GJ06G-6791,45715,47970,
Workshop,1227/24-25,GJ06G-6775,45729,48610,
Workshop,1227/24-25,GJ06G-6770,45729,47700,
Fire Brigade,1248/24-25,"GJ06Y-5783, GJ06GA-3009",45726,41820,224
Vehicle Pool,1280/24-25,GJ06G-2032,18/03/2025,47450,
Vehicle Pool,1280/24-25,"GJ06G-2030, 6690, 6451, GJ06GA-3248",18/03/2025,42235,
Workshop,1291/24-25,"GJ06G-6622, GJ06GA-3145, GJ06GA-2510, GJ06G-6791",45741,47360,
Workshop,1347/24-25,"GJ06G-6574, 6690, 6411, 6768",03/04/2025,48610,
Workshop,1347/24-25,"GJ06G-6725, 6469, 6619",03/04/2025,46960,
Workshop,1347/24-25,"GJ06G-1577, 6526",03/04/2025,46590,
Workshop,1347/24-25,"GJ06GA-3145, GJ06G-6527, 6767",03/04/2025,46340,
Workshop,1347/24-25,"GJ06G-6740, GJ06GA-2546",03/04/2025,44700,
Workshop,1347/24-25,GJ06G-6794,03/04/2025,49980,
