ESTIMATE NO,VEHICLE,AMOUNT,DATE,PRO
45,"GJ06GA-2750,2973,GJ06G-1740,GJ06GA-0234",49290,45258,1111
48,GJ06G-6737,46640,45286,951
50,"GJ06GA-0132,0421,GJ06G-6736",48040,45286,951
51,"GJ06AH-2744,GJ06GA-2856,2911",48670,45286,1111
52,"GJ06Y-5783,GJ06GA-3009",41820,45286,1248
53,"GJ06GA-0005,0352,3480",33100,45286,
54,"GJ06GA-0374,GJ06G-2550,6737,GJ06GA-2959",49770,45286,1111
55,GJ06GA-3205,49995,45318,
56,"GJ06GA-0130,GJ06G-2521,GJ06GA-2750,3489",47010,45318,
57,"GJ06GA-0221,GJ06G-6521",46410,45318,
58,"GJ06G-6363,GJ06GA-3213",36350,45341,997
59,GJ06GA-3258,49895,45341,997
60,GJ06G6733,40710,45341,
61,"GJ06G-932,GJ06GA-2511",31360,45341,
62,"GJ06G-6737, GJ06G-6385",31550,45342,
63,"GJ06GA-0270,3669",42330,45357,
64,"GJ06GA-3258,GJ06G-6735,GJ06GA-3287",49600,45357,
65,"GJ06GA-0245, GJ06G-6648",47600,45357,
66,"GJ06GA-6519,GJ06G-1560",35360,45357,
67,"GJ06GA-3380,2521",45540,45366,
68,"GJ06G-6363,GJ06T-5102",48810,45366,
69,"GJ06G-6390,6382",48230,45387,
70,"GJ06G-6383,GJ06G-1740",47160,45387,
71,"GJ06GA-3256,GJ06G-6736,GJ06AH-2744",49810,45387,
72,"GJ06GA-2911,GJ06GA-0322",46450,45404,
73,"GJ06G-932,GJ06GA-3138,6376,GJ06G-6365",43230,45404,
74,GJ06GAH-2744,47130,45404,
75,GJ06G-6646,47035,45446,
76,"GJ06GA-2845,GJ06G-6733,6646",49805,45446,997
77,GJ06GA-0185,48380,45446,
78,GJ06GA-0185,49200,45446,
79,GJ06GA-2550,45500,45446,
80,GJ06G-6532,39620,45446,
81,"GJ06GA-2900,2766,2563,0422,GJ06G-6384",45480,45446,
82,"GJ06G-6518,6519,6520",34747,45446,
83,"GJ06G-6383,GJ06GA-2682,0190,2511,0352",44680,45446,
84,"GJ06G-932,GJ06GA-2971,GJ06U-7454",46470,45446,
85,"GJ06GA-2586, GJ06G-932, GJ06G-6736",43450,06-07-24,
86,Chainsaw Machine,47450,06-07-24,
87,Chainsaw Machine,32200,06-07-24,
88,"GJ06G-6521, GJ06G-6520",40600,06-07-24,
89,"GJ06GA-2582, GJ06GA-2971, GJ06GA-0130",45100,10-07-24,
90,"GJ06GA-2845, GJ06GA-0005, GJ06G-6737",45555,10-07-24,
91,"GJ06G-6482, GJ06G-6735, For Various Vehicles, GJ06GA-3380",48260,10-07-24,
92,"GJ06GA-0185, GJ06G-6390, GJ06G-6385",46375,31-07-24,
93,"GJ06G-6737, GJ06G-6385",44240,31-07-24,
94,"GJ06GA-3075, GJ06GA-2973",45215,31-07-24,
95,GJ06W-9934,49960,31-07-24,
96,"GJ06G-6735, GJ06GA-3138",45095,31-07-24,
97,"GJ06GA-3182, GJ06GA-3258, GJ06GA-0374",45400,31-07-24,
98,"GJ06GA-0245, GJ06GA-0132, GJ06GA-0331, GJ06GA-2550",46760,31-07-24,
99,"GJ06G-6383, GJ06G-6736",43555,23-08-24,
100,"GJ06GA-3205, GJ06GA-0402, GJ06G-6382",45880,23-08-24,
101,"GJ06G-1740, GJ06G-6384",49370,23-08-24,
102,"GJ06G-6365, GJ06G-9934, GJ06G-6646",44600,23-08-24,
103,GJ06GA-2521,44670,23-08-24,
104,GJ06G-6519,40685,23-08-24,
105,"GJ06G-6520, For Rear Engine",49890,23-08-24,
111,Various Vehicles,455425,20-09-24,
112,"GJ06GA-0402, GJ06GA-3258, GJ06GA-0414",48510,09-10-24,
113,"GJ06AH-2744, GJ06GA-2511, GJ06GA-3213",44560,09-10-24,
114,"GJ06GA-0352, GJ06GA-0125, GJ06G-0932, GJ06GA-3480",49310,09-10-24,
115,"GJ06G-6737, GJ06GA-0226",49915,09-10-24,
116,"GJ06G-6734, GJ06GA-2856",45790,09-10-24,
117,"GJ06GA-3138, GJ06G-6390, GJ06GA-3287",43800,09-10-24,
118,GJ06G-6385,49990,09-10-24,
119,GJ06GA-2750,45780,09-10-24,
120,GJ06G-6734,49880,09-10-24,
121,GJ06G-6734,49810,09-10-24,
122,"GJ06G-6733, GJ06GA-0190",47550,11-11-24,
123,"GJ06G-6734, GJ06GA-0185, GJ06GA-2748, GJ06GA-2823",45230,11-11-24,
124,"GJ06GA-2563, GJ06GA-0414, GJ06GA-0374, GJ06GA-0221",49930,11-11-24,
125,"GJ06GA-0498, GJ06T-9026, GJ06GA-2973, GJ06G-0292",45520,11-11-24,
126,GJ06G-6737,49850,11-11-24,
127,GJ06GA-0487,49090,11-11-24,
128,GJ06GA-0226,46800,11-11-24,
129,GJ06GA-0487,46680,11-11-24,
129,GJ06GA-0487,46680,11-11-24,
130,"GJ06G-6648, GJ06G-6365, GJ06GA-0185, GJ06GA-0374",48970,4-12-24,
131,"GJ06GA-0322, GJ06G-6647, GJ06G-6382",48990,4-12-24,
132,"GJ06G-6520, GJ06G-6531, GJ06G-6518",46710,4-12-24,
133,"GJ06G-6641, GJ06GA-0487",46550,4-12-24,
134,"GJ06GA-0243, GJ06GA-0498, GJ06G-6736, GJ06GA-2856",49790,28-12-24,
135,"GJ06G-9009, GJ06G-2750",35100,28-12-24,
136,"GJ06GA-0190, GJ06GA-2585",48960,28-12-24,
137,"GJ06GA-0270, GJ06T-5102",49670,28-12-24,
138,"GJ06GA-0331, GJ06GA-0230, GJ06GA-2900, GJ06G-2750",46975,24-01-25,
139,"GJ06G-6365, GJ06GA-3258, GJ06GA-2586, GJ06G-6737",49010,24-01-25,
140,"GJ06G-6646, GJ06G-6382",44970,24-01-25,
141,"GJ06G-6521, GJ06G-6518",47540,24-01-25,
142,"GJ06GA-3213, GJ06G-0932, GJ06GA-3998",45145,45710,
143,"GJ06GA-2779, GJ06GA-0498",48780,45710,
144,"GJ06GA-0331, GJ06GA-0331",46890,45710,
145,"GJ06G-6736, GJ06GA-2959",42130,45710,
146,"GJ06G-6376, GJ06GA-3784, GJ06GA-0352, GJ06GA-2766",41060,45762,
147,"GJ06GA-0230, GJ06GA-3075, GJ06G-6736, GJ06G-6641",45420,45762,
148,"GJ06G-6363, GJ06GA-0130, GJ06GA-0374, GJ06GA-0402",46685,45762,
149,"GJ06GA-0374, GJ06G-0932",47680,45762,
150,"GJ06G-6538, GJ06G-6521, GJ06G-6519",44160,45762,
151,"GJ06G-1740, GJ06G-1008, GJ06G-9009",49500,45762,
152,For Panigate Fire Station,48950,45782,
153,For Panigate Fire Station,49825,45782,
154,For Panigate Fire Station,49730,45782,
155,For Panigate Fire Station,47450,45782,
156,For Panigate Fire Station,48800,45782,
