ESTIMATE NO,VEHICLE,AMOUNT,ORDER
112,GJ06GA-3138,4960,
115,,480,
165,GJ06GA-9009,4700,
251,"GJ06GA-2598, 3075",4730,
252,GJ06GA-2748,4620,
253,"GJ06GA-0190, 2779",4530,
254,"GJ06GA-2779, 3182",4390,
255,GJ06G-6390,3440,
256,Various Vehicles for Panigate,4700,
257,"GJ06GA-0230, GJ06G-6383",4550,
258,"GJ06GA-3138, 6737",4665,
259,"GJ06GA-6737, 2823",4635,
260,"GJ06GA-0498, 2585",4730,
261,"GJ06GA-2585, 0331",4730,
262,"GJ06GA-6384, 3213",4485,
263,"GJ06GA-3213, 0185",4665,
265,GJ06GA-6482,1640,
266,GJ06G-6736,1920,
507,"GJ06GA-3258, 2959, 0326",3000,
566,Bhaily Fire Station,4850,
572,GJ06GA-0414,4715,268
575,GJ06GA-0414,4620,
581,GJ06GA-0487,4710,215/10/7/24
582,GJ06GA-2511,3950,222/11/7/24
583,"GJ06GA-2511, 402",4630,229/12/7/24
586,GJ06GA-2750,4150,230/12/7/24
588,GJ06Y-5783,4650,237
589,GJ06Y-5783,4990,245
590,GJ06GA-3205,4860,246
594,"GJ06GA-2511, 2959, GJ06G-6736",4840,253
595,GJ06GA-3480,3400,261
596,GJ06GA-3480,3840,269
597,"GJ06G-6520, 6532",3240,276
598,"GJ06GA-3258, Various Vehicles",3750,283
599,GJ06GA-3205,4930,290
600,GJ06GA-0421,3940,297
601,"Various Vehicles, GJ06GA-0421",3940,307
603,GJ06GA-3287,3970,298
604,BOAT ERC,4990,328
605,BOAT ERC,4990,338
610,For TP.13,3350,308
611,Panigate F/S,4890,319
612,Panigate F/S,4730,329
613,Panigate F/S,3710,339
615,GJ06GA-3258,3440,318
616,GJ06GA-3258,4250,349
618,GJ06GA-3213,3680,356
620,Various Vehicles TP-13,1960,363
621,GJ06G-6482,4960,370
623,GJ06G-6735,1730,363
624,GJ06GA-0421,3440,376
625,"GJ06G-6737, GJ06T-9026",4230,383
626,GJ06GA-3205,4170,391
627,Panigate Boat,950,399
633,GJ06GA-3258,4850,407
634,"GJ06GA-3205, 0374",3730,415
635,GJ06GA-3213,4880,423
637,GJ06GA-0487,4980,431
638,GJ06GA-3258,3940,438
640,GJ06GA-0245,4640,445
643,Various Vehicles,3260,
644,Various Vehicles,3260,452
645,Various Vehicles,3260,459
646,Various Vehicles,3260,466
647,GJ06GA-0270,4310,473
649,GJ06G-6519,4940,474
651,GJ06GA-0270,4260,481
654,Badamdi Baug F/S,2110,489
656,Dandia Bazar,1280,
657,GJ06GA-2845,2520,496
659,"GJ06GA-2999, 6598",1320,560
660,"GJ06G-6514, 6363",4080,497
662,GJ06G-6363,4320,482
663,GJ06GA-3380,480,
