ESTIMATE NO,VEHICLE,AMOUNT,Order
15,GJ06G-6787,2340,491
23,GJ06GA-3145,2960,372
24,GJ06GA-3234,2960,
29,GJ06G-6770,2860,470
31,,280,
39,,2960,
47,,360,
50,"GJ06G-6620, 6421",4920,Order-290/06-09-2024
51,"GJ06G-6421, 6553",4760,Order-317/11-09-2024
52,"GJ06G-6497, 6485",4680,353
53,"GJ06G-6485, 6530",4680,42
54,GJ06G-1591,4980,364
55,"GJ06GA-0148, 1723",4485,Order-326/13-09-2024
56,"GJ06GA-2609, GJ06G-6528",4520,Order-289/05-09-2024
61,"GJ06G-1723, GJ06GA-2609",4485,546
64,"GJ06G-6770, 6776",4920,
65,"GJ06G-6767, 6768",4920,495
66,"GJ06G-6768, 6771",4920,433
68,"GJ06G-6445, GJ06GA-2933",4820,437
72,"GJ06G-6412, 6414",4410,Order-322/12-09-2024
74,GJ06G-6475,2940,
78,GJ06G-6677,1560,
79,GJ06G-6527,3120,366
80,GJ06G-6796,2040,
82,GJ06GA-0313,1620,
86,"GJ06G-6766, 6777",4920,441
87,"GJ06G-6775, ",4840,
91,"GJ06G- ,GJ06G-6788",4900,
93,GJ06G-6766,2680,500
95,,4760,
96,"GJ06G- , GJ06G-6671",4920,
98,GJ06GA-3248,3860,
99,"GJ06G-6529, GJ06G-6497",3040,
102,GJ06G-6431,4960,473
116,"GJ06G-6529, GJ06G-6497",1530,458
127,GJ06G-6746,1740,
129,GJ06G-6466,1530,
142,GJ06G-6463,4500,
149,GJ06G-6461,4500,448
153,GJ06G-2030,4480,Order-295/07-09-2024
155,GJ06G-6408,2270,Order-339/17-09-2024
166,GJ06G-6683,4650,357
170,,2360,
182,GJ06G-6485,4500,Order-330/14-09-2024
187,GJ06G-6459,2520,Order-341/18-09-2024
190,GJ06G-6526,2460,488
193,GJ06G-6528,2140,409/8-10-24
199,GJ06GA-3248,2960,412/9-10-24
200,GJ06G-6414,3120,
202,GJ06G-6776,3120,
204,GJ06G-6451,4500,Order-333/16-09-2024
208,GJ06GA-2749,2560,
212,GJ06G-6452,4720,Order-345/19-09-2024
219,GJ06GA-3248,3260,Order-349/20-09-2024
223,GJ06G-6497,2500,462
231,GJ06G-1728,3540,383
