ESTIMATE NO,VEHICLE,AMOUNT,PRO
5,"GJ06GA-3155,GJ06G-6527,6767",46340,1347
9,GJ06G-6722,47920,653
13,"GJ06G-6740,GJ06GA-2546",44700,Cancelled New one 39
14,"GJ06G-1577,6526",46590,Cancelled New one 38
15,"GJ06G-6725,6469,6619",46960,Cancelled New one 37
16,GJ06G-6796,45810,Cancelled New one 36
19,GJ06G-6794,49980,1347
22,"GJ06G-6792, GJ06GA-2546, GJ06GA-3471, GJ06GA-2510, GJ06G-6447",40520,861
23,"GJ06G-6774, GJ06G-6794, GJ06G-6793",47220,861
24,"GJ06G-2639, GJ06G-6795",46530,861
25,"GJ06G-6493, GJ06GA-3145, GJ06GA-3155",47900,861
27,GJ06G-6574,49850,861
29,"GJ06G-6574, GJ06G-6690, GJ06G-6411, GJ06G-6768",48610,1347
31,GJ06GA-3471,49970,1018
32,"GJ06G-6572, GJ06G-6571, GJ06G-6548",45940,1018
33,"GJ06G-6530, GJ06G-6552",43510,1018
34,"GJ06G-6575, GJ06G-6408, GJ06G-6792, GJ06GA-2639",49050,
35,GJ06G-6770,47700,1227
36,GJ06G-6796,45810,
37,"GJ06G-6725, GJ06G-6469, GJ06G-6619",46960,1347
38,"GJ06G-1577, GJ06G-6526",46590,1347
39,"GJ06G-6740, GJ06GA-2546",44700,1347
40,"GJ06G-6622, GJ06GA-3145, GJ06GA-2510, GJ06G-6791",47360,1291
41,GJ06G-6775,48610,1227
42,GJ06G-6791,47970,1148
43,GJ06G-6460,49730,
44,GJ06G-6460,48395,
45,"GJ06G-6460, GJ06GA-2546, GJ06G-6447, GJ06G-6793",48370,
46,"GJG06-6769, GJ06G-6690, GJ06GA-3111, GJ06G-6775",47505,
47,"GJ06GA-2518, GJ06GA-2591, GJ06G-6571",47610,
48,"GJ06GA-2591, GJ06G-6572",48360,
49,GJ06G-6773,49720,
50,GJ06G-6773,49330,
51,GJ06G-6773,49385,
52,"GJ06G-6773, GJ06G-6776",47680,
53,"GJ06GA-2510, GJ06G-6794, GJ06G-6776",49780,
54,GJ06GA-2510,49165,
